question,answer,category,language,url,intent,answer_type
Quels sont les horaires des cours?,Consultez les emplois du temps sur le portail étudiant.,Services,fr,https://isetsf.rnu.tn/fr/portail-etudiant,info,"text"
What are the class schedules at ISET Sfax?,Check the schedules on the student portal.,Services,en,https://isetsf.rnu.tn/fr/portail-etudiant,info,"text"
Comment accéder à la bibliothèque de l'ISET?,Visitez la page de la bibliothèque pour les informations d'accès.,Services,fr,https://isetsf.rnu.tn/fr/bibliotheque,info,"text"
How can I access the ISET Sfax library?,Find library access details on the library page.,Services,en,https://isetsf.rnu.tn/fr/bibliotheque,info,"text"
Quels sont les critères d'admission à l'ISET?,Consultez les critères sur la page des admissions.,Admissions,fr,https://isetsf.rnu.tn/fr/admissions,info,"text"
What are the admission requirements for ISET Sfax?,Review the admission criteria on the admissions page.,Admissions,en,https://isetsf.rnu.tn/fr/admissions,info,"text"
Comment s'inscrire à un club étudiant?,Inscrivez-vous via la page des clubs étudiants.,Vie estudiantine,fr,https://isetsf.rnu.tn/fr/clubs,info,"text"
How do I join a student club at ISET Sfax?,Sign up through the student clubs page.,Vie estudiantine,en,https://isetsf.rnu.tn/fr/clubs,info,"text"
Quelles sont les entreprises partenaires de l'ISET?,Découvrez les partenaires sur la page entreprise.,Entreprise,fr,https://isetsf.rnu.tn/fr/partenaires-entreprise,info,"text"
What companies partner with ISET Sfax?,Check the enterprise partners on the dedicated page.,Entreprise,en,https://isetsf.rnu.tn/fr/partenaires-entreprise,info,"text"
Comment obtenir une attestation de réussite?,Demandez votre attestation via le portail étudiant.,Services,fr,https://isetsf.rnu.tn/fr/portail-etudiant,info,"text"
How can I get a certificate of achievement?,Request your certificate through the student portal.,Services,en,https://isetsf.rnu.tn/fr/portail-etudiant,info,"text"
Quels sont les documents requis pour l'inscription?,Consultez la liste des documents sur la page d'inscription.,Inscription,fr,https://isetsf.rnu.tn/fr/inscription,info,"text"
What documents are required for registration?,Check the required documents on the registration page.,Inscription,en,https://isetsf.rnu.tn/fr/inscription,info,"text"
Quelles sont les activités sportives à l'ISET?,Découvrez les activités sportives sur la page de la vie estudiantine.,Vie estudiantine,fr,https://isetsf.rnu.tn/fr/vie-estudiantine,info,"text"
What sports activities are available at ISET Sfax?,Explore sports activities on the student life page.,Vie estudiantine,en,https://isetsf.rnu.tn/fr/vie-estudiantine,info,"text"
Comment demander une aide financière?,Suivez les démarches sur la page des bourses.,Bourses,fr,https://isetsf.rnu.tn/fr/bourses,info,"text"
How can I apply for financial aid?,Follow the financial aid process on the scholarships page.,Bourses,en,https://isetsf.rnu.tn/fr/bourses,info,"text"
Quels sont les programmes de mastère en informatique?,Consultez les mastères en informatique sur la page des formations.,Formation,fr,https://isetsf.rnu.tn/fr/formation/informatique,info,"text"
What master’s programs are offered in Computer Science?,Check the Computer Science master’s programs on the training page.,Formation,en,https://isetsf.rnu.tn/fr/formation/informatique,info,"text"
Comment participer à un projet de recherche?,Inscrivez-vous via la page des projets de recherche.,Recherche,fr,https://isetsf.rnu.tn/fr/recherche,info,"text"
How can I participate in a research project?,Sign up through the research projects page.,Recherche,en,https://isetsf.rnu.tn/fr/recherche,info,"text"
Quels sont les avantages pour les anciens élèves?,Découvrez les avantages sur la page des alumni.,Alumni,fr,https://isetsf.rnu.tn/fr/alumni,info,"text"
What benefits are available for ISET Sfax alumni?,Check the alumni benefits on the dedicated page.,Alumni,en,https://isetsf.rnu.tn/fr/alumni,info,"text"
Comment organiser un événement étudiant?,Consultez les directives sur la page des manifestations.,Vie estudiantine,fr,https://isetsf.rnu.tn/fr/manifestations,info,"text"
How can I organize a student event at ISET Sfax?,Follow the guidelines on the events page.,Vie estudiantine,en,https://isetsf.rnu.tn/fr/manifestations,info,"text"
Quelles sont les options de logement pour étudiants?,Consultez les options sur la page de la vie estudiantine.,Vie estudiantine,fr,https://isetsf.rnu.tn/fr/vie-estudiantine,info,"text"
What housing options are available for students?,Check the housing options on the student life page.,Vie estudiantine,en,https://isetsf.rnu.tn/fr/vie-estudiantine,info,"text"
Comment obtenir un visa pour étudier à l'ISET?,Suivez les démarches sur la page internationale.,International,fr,https://isetsf.rnu.tn/fr/international,info,"text"
How can I get a visa to study at ISET Sfax?,Follow the visa process on the international page.,International,en,https://isetsf.rnu.tn/fr/international,info,"text"
Quels sont les laboratoires de recherche à l'ISET?,Consultez les laboratoires sur la page de recherche.,Recherche,fr,https://isetsf.rnu.tn/fr/recherche,info,"text"
What research labs are at ISET Sfax?,Check the research labs on the research page.,Recherche,en,https://isetsf.rnu.tn/fr/recherche,info,"text"
Comment postuler pour un poste d'enseignant?,Consultez les offres sur la page des carrières.,Entreprise,fr,https://isetsf.rnu.tn/fr/carrieres,info,"text"
How can I apply for a teaching position at ISET Sfax?,Check the job openings on the careers page.,Entreprise,en,https://isetsf.rnu.tn/fr/carrieres,info,"text"
Quelles sont les ressources en ligne pour les étudiants?,Visitez le portail étudiant pour les ressources en ligne.,Services,fr,https://isetsf.rnu.tn/fr/portail-etudiant,info,"text"
What online resources are available for students?,Access online resources through the student portal.,Services,en,https://isetsf.rnu.tn/fr/portail-etudiant,info,"text"
Comment signaler un problème technique?,Contactez le Centre Informatique via la page des services.,Services,fr,https://isetsf.rnu.tn/fr/centre-informatique,assistance,"text"
How can I report a technical issue?,Contact the IT Center through the services page.,Services,en,https://isetsf.rnu.tn/fr/centre-informatique,assistance,"text"
Quelles sont les modalités d'examen à l'ISET?,Consultez les modalités sur la page des examens.,Formation,fr,https://isetsf.rnu.tn/fr/examens,info,"text"
What are the examination policies at ISET Sfax?,Check the examination policies on the exams page.,Formation,en,https://isetsf.rnu.tn/fr/examens,info,"text"
Comment obtenir un relevé de notes?,Demandez votre relevé via le portail étudiant.,Services,fr,https://isetsf.rnu.tn/fr/portail-etudiant,info,"text"
How can I get a transcript of records?,Request your transcript through the student portal.,Services,en,https://isetsf.rnu.tn/fr/portail-etudiant,info,"text"
Quels sont les partenariats industriels de l'ISET?,Découvrez les partenariats industriels sur la page entreprise.,Entreprise,fr,https://isetsf.rnu.tn/fr/partenaires-entreprise,info,"text"
What industrial partnerships does ISET Sfax have?,Check the industrial partnerships on the enterprise page.,Entreprise,en,https://isetsf.rnu.tn/fr/partenaires-entreprise,info,"text"
Comment demander une lettre de recommandation?,Contactez vos professeurs via le portail étudiant.,Services,fr,https://isetsf.rnu.tn/fr/portail-etudiant,demande,"text"
présentation du département technologies de l'informatique,Technologies de l'Informatique Directeur du département : Mohamed ELLEUCH Mohamed.elleuch@sfax.r-iset.tn Secrétaire du Département : Mme Amel BOURICHA Nous Joindre : Email : elleuch_med@yahoo.fr Tél: 74431425/ 74431182 Présentation du Département Le Département Technologies de l'Informatique de l'ISET de Sfax est un département créé en septembre 2008 suite à la fusion des départements Informatique et STID (Statistique et Traitement Informatique de Données). Il a une capacité d'accueil de 800 étu...,Services,fr,https://isetsf.rnu.tn/fr/institut/departements/technologies-de-l-informatique,
qui est le responsable du tronc commun en informatique ?,Le responsable du tronc commun en informatique est M. Nader Frikha.,Pédagogique,fr,https://isetsf.rnu.tn/fr/institut/departements/technologies-de-l-informatique,
qui gère le parcours DSI à l'ISET Sfax ?,Le parcours DSI est géré par Mme Afef Samet.,Pédagogique,fr,https://isetsf.rnu.tn/fr/institut/departements/technologies-de-l-informatique,
qui est le coordinateur du master DSIR ?,Le coordinateur du master DSIR est M. Faiez Charfi.,Pédagogique,fr,https://isetsf.rnu.tn/fr/institut/departements/technologies-de-l-informatique,
quels sont les parcours de la licence en technologies de l'informatique ?,"Les parcours de la licence en technologies de l'informatique sont : Développement des Systèmes Informatiques (DSI), Réseaux et Systèmes Informatiques (RSI), et Systèmes Embarqués et Mobiles (SEM).",Pédagogique,fr,https://isetsf.rnu.tn/fr/institut/departements/technologies-de-l-informatique,
quels sont les masters proposés en informatique à l'ISET Sfax ?,"Les masters proposés sont : MASTER DSIR (Développement des Systèmes d’Informations et Réseaux) avec les spécialités RINT et GLNT, et MASTER ASSC (Administration des Systèmes, Sécurité et Cloud Computing) avec les spécialités Sécurité Informatique et Cloud Computing.",Pédagogique,fr,https://isetsf.rnu.tn/fr/institut/departements/technologies-de-l-informatique,
qui est responsable du parcours RSI ?,Le responsable du parcours RSI est M. Habib Chakchouk.,Pédagogique,fr,https://isetsf.rnu.tn/fr/institut/departements/technologies-de-l-informatique,
qui coordonne le master ASSC à l'ISET Sfax ?,Le coordinateur du master ASSC est M. Hassan Ben Ayed.,Pédagogique,fr,https://isetsf.rnu.tn/fr/institut/departements/technologies-de-l-informatique,
quelles sont les spécialités du master DSIR ?,Les spécialités du master DSIR sont : Réseaux Informatiques & Nouvelles Technologies (RINT) et Génie Logiciel & Nouvelles Technologies (GLNT).,Pédagogique,fr,https://isetsf.rnu.tn/fr/institut/departements/technologies-de-l-informatique,
qui est responsable du parcours SEM en informatique ?,Le responsable du parcours SEM est M. Hichem Ben Nasr.,Pédagogique,fr,https://isetsf.rnu.tn/fr/institut/departements/technologies-de-l-informatique,
actualités,Contactez-nous Formations Espace Extranet Espace Extranet menu,Services,fr,https://isetsf.rnu.tn/fr,
Appels d'offres ?,ISET SFAX - Appels d'offres Contactez-nous Formations Espace Extranet Espace Extranet menu Appels d'offres Actualités Appels d’offres et consultations Appels d'offres Recevez les dernières mises à jour et offres. S'abonner Route de Mahdia Km 2.5 BP 88 A - 3099 Sfax (+216) 74 431 425 (+216) 74 431 673 iset.sfax@sfax.r-iset.tn Institut Message du Directeur Organigramme Conseil Scientifique et Technologique Galerie des photos Etudiants Formation Clubs Manifestations Inscription à distance Entrepris...,iset-sfax,fr,https://isetsf.rnu.tn/fr/actualites/appels-doffres-et-consultations,faq,"text"
ISET SFAX  Organigramme ?,ISET SFAX - Organigramme Contactez-nous Formations Espace Extranet Espace Extranet menu Date de dernière mise à jour: samedi 10 mai 2025 Nombre de vues: 1483 Organigramme Institut Organigramme Institut Message du Directeur Présentation Organigramme Conseil Scientifique et Technologique Départements Sc. Eco. et Gestion Technologies de l'Informatique Génie des Procédés Génie Civil Génie Mécanique Associations Association de l'Innovation et la Technologie « AIT » Association de Recherche et Dévelop...,iset-sfax,fr,https://isetsf.rnu.tn/fr/institut/organigramme,faq,"text"
Présentation du Département technologies de l'informatique,Contactez-nous Formations Espace Extranet Espace Extranet menu,Services,en,https://isetsf.rnu.tn/fr/institut/departements/technologies-de-l-informatique,
"appel candidature du mastère en ASSCC","images/appel_candidature_mastère_ASSCC.jpg","Mastère","fr","https://isetsf.rnu.tn/fr/candidature-premiere-annee-mastere","informative","image"
